"title","year","userRating","votes","runtime","mpaaRating","genre","releaseDate","story","director","writer","stars","metacriticScore","awardWins","awardNominations","tagline","country","language","filmingLocations","budget","openingWeekendUS","grossUS","cumulativeWorldwideGross","productionCompany"
"Whose Line Is It Anyway?","1998","8.5","39,203","30 min","TV-PG","Comedy,Game-Show","TV Series (1998–2007)","Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.","Creators:Mark Leveson, Dan Patterson","Stars:Drew Carey, Colin Mochrie, Ryan Stiles","Stars:Drew Carey, Colin Mochrie, Ryan Stiles","","2","6","","USA,UK","English","Hollywood, Los Angeles, California, USA","","","","","Hat Trick Productions, Warner Bros. Television, Riverside Productions"
"Spartacus: Gods of the Arena","2011","8.5","123,145","331 min","TV-MA","Action,Adventure,Biography","TV Mini-Series (2011)","In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","Creator:Steven S. DeKnight","Stars:John Hannah, Manu Bennett, Peter Mensah","Stars:John Hannah, Manu Bennett, Peter Mensah","",NA,"4","","USA","English,Assyrian Neo-Aramaic","Auckland, New Zealand","","","","","Starz!"
"Succession","2018","8.5","30,320","60 min","TV-MA","Drama","TV Series (2018– )","Succession follows a dysfunctional American global-media family.","Creator:Jesse Armstrong","Stars:Hiam Abbass, Nicholas Braun, Brian Cox","Stars:Hiam Abbass, Nicholas Braun, Brian Cox","","25","35","Take what's yours.","USA","English","New York City, New York, USA","","","","","Gary Sanchez Productions, Project Zeus, Hyperobject Industries"
"Hannibal","2013","8.5","217,610","44 min","TV-14","Crime,Drama,Horror","TV Series (2013–2015)","Explores the early relationship between the renowned psychiatrist and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.","Creator:Bryan Fuller","Stars:Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas","Stars:Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas","","23","48","A killer's legend is reborn.","USA","English","Toronto, Ontario, Canada","","","","","Dino De Laurentiis Company, Living Dead Guy Productions, AXN: Original X Production"
"Horace and Pete","2016","8.5","14,343","67 min","TV-MA","Comedy,Drama","TV Mini-Series (2016)","Louis C.K.'s Eugene O'Neill-esque dramedic web series about two brothers, introverted Horace and mentally ill Pete, the current owners of their family's Irish bar ""Horace and Pete's"", and their dysfunctional family and friends.","Creator:Louis C.K.","Stars:Louis C.K., Steve Buscemi, Edie Falco","Stars:Louis C.K., Steve Buscemi, Edie Falco","",NA,"7","","USA","English","","","","","","Pig Newton"
"I'm Alan Partridge","1997","8.5","17,892","29 min","TV-MA","Comedy","TV Series (1997–2002)","Alan Partridge, a failed television presenter, is now presenting a programme on local radio in Norwich. He desperately tries to revive his broadcasting career.","Stars:Steve Coogan, Simon Greenall, Felicity Montagu            |See full cast & crew »",NA,NA,"","5","6","","UK","English,German,French","BBC Television Centre, Wood Lane, Shepherd's Bush, London, England, UK","","","","","TalkBack Productions"
"The Office","2001","8.5","94,539","30 min","TV-MA","Comedy,Drama","TV Series (2001–2003)","The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.","Creators:Ricky Gervais, Stephen Merchant","Stars:Ricky Gervais, Martin Freeman, Mackenzie Crook","Stars:Ricky Gervais, Martin Freeman, Mackenzie Crook","","24","15","The brilliant new comedy on BBC America. [U.S. DVD.]","UK","English","Slough Trading Estate, Slough, Berkshire, England, UK","","","","","British Broadcasting Corporation (BBC)"
"Naruto: Shippûden","2007","8.6","74,270","24 min","TV-PG","Animation,Action,Adventure","TV Series (2007–2017)","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","Creator:Masashi Kishimoto","Stars:Junko Takeuchi, Maile Flanagan, Kate Higgins","Stars:Junko Takeuchi, Maile Flanagan, Kate Higgins","","2","8","The destruction of the Hidden Leaf Village begins.","Japan","English,Japanese","","","","","","Pierrot"
"John Adams","2008","8.5","27,142","71 min","TV-14","Biography,Drama,History","TV Mini-Series (2008)","The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.","Stars:Paul Giamatti, Laura Linney, John Dossett            |See full cast & crew »",NA,NA,"","51","35","Join or Die","USA","English","Hungary","","","","","HBO Films, High Noon Productions, Playtone"
"Sons of Anarchy","2008","8.6","246,099","45 min","TV-MA","Crime,Drama,Thriller","TV Series (2008–2014)","A biker struggles to balance being a father and being involved in an outlaw motorcycle club.","Creator:Kurt Sutter","Stars:Charlie Hunnam, Katey Sagal, Mark Boone Junior","Stars:Charlie Hunnam, Katey Sagal, Mark Boone Junior","","11","55","Let freedom ride","USA","English","Los Angeles, California, USA","","","","","SutterInk, Linson Entertainment, Fox 21"
"Black Books","2000","8.5","52,463","25 min","TV-PG","Comedy","TV Series (2000–2004)","Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.","Creator:Dylan Moran","Stars:Dylan Moran, Bill Bailey, Tamsin Greig","Stars:Dylan Moran, Bill Bailey, Tamsin Greig","","3","3","","UK","English","Leigh Street, Bloomsbury, London, England, UK","","","","","Assembly Film and Television"
"The Punisher","2017","8.5","172,417","53 min","TV-MA","Action,Adventure,Crime","TV Series (2017–2019)","After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","Creator:Steve Lightfoot","Stars:Jon Bernthal, Amber Rose Revah, Ben Barnes","Stars:Jon Bernthal, Amber Rose Revah, Ben Barnes","",NA,"14","The truth must be taken.","USA","English","Brooklyn, New York City, New York, USA","","","","","ABC Studios, Disney-ABC Domestic Television, Marvel Entertainment"
"The New Batman Adventures","1997","8.5","13,516","30 min","TV-PG","Animation,Action,Adventure","TV Series (1997–1999)","The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.","Creator:Bob Kane","Stars:Kevin Conroy, Tara Strong, Mathew Valencia","Stars:Kevin Conroy, Tara Strong, Mathew Valencia","","6","10","","USA","English","","","","","","Warner Bros. Animation, DC Comics, Warner Bros. Television"
"Boku dake ga inai machi","2016","8.5","23,325","30 min","TV-14","Animation,Drama,Fantasy","TV Series (2016)","29 year old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings in his 5th grade year.","Stars:Ben Diskin, Shinnosuke Mitsushima, Michelle Ruff            |See full cast & crew »",NA,NA,"",NA,"3","","Japan","Japanese","","","","","","A-1 Pictures, Aniplex America, Aniplex"
"Shigatsu wa kimi no uso","2014","8.6","13,543","23 min","TV-PG","Animation,Drama,Music","TV Series (2014–2015)","A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.","Stars:Natsuki Hanae, Risa Taneda, Ayane Sakura            |See full cast & crew »",NA,NA,"","2",NA,"","Japan","Japanese","","","","","","A-1 Pictures, Aniplex, Dentsu"
"Mob Psycho 100","2016","8.5","11,414","24 min","TV-14","Animation,Action,Horror","TV Series (2016– )","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Stars:Setsuo Ito, Takahiro Sakurai, Akio Ôtsuka            |See full cast & crew »",NA,NA,"","0",NA,"","Japan","Japanese","","","","","","Bones"
"Spartacus: Blood and Sand","2010","8.5","216,624","55 min","TV-MA","Action,Adventure,Biography","TV Series (2010–2013)","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Creator:Steven S. DeKnight","Stars:Andy Whitfield, Lucy Lawless, Manu Bennett","Stars:Andy Whitfield, Lucy Lawless, Manu Bennett","","4","16","This Season, The Fight For Freedom Is Fueled By Vengeance (Season 2)","USA","English,German","Auckland, New Zealand","","","","","Tapert / Donen / Raimi, Starz!"
"Dr. Horrible's Sing-Along Blog","2008","8.5","41,074","42 min","TV-PG","Short,Comedy,Musical","TV Mini-Series (2008)","An aspiring supervillain must balance his career and his pursuit of a beautiful do-gooder.","Stars:Neil Patrick Harris, Nathan Fillion, Felicia Day            |See full cast & crew »",NA,NA,"","9","4","The world is a mess and I just need to RULE it.","USA","English","D.C. Stages, 1360 East 6th Street, Downtown, Los Angeles, California, USA","","","","","Mutant Enemy"
"Hilda","2018","8.6","5,155","24 min","TV-Y7","Animation,Adventure,Comedy","TV Series (2018–2020)","Hilda follows the adventures of a fearless blue-haired girl as she travels from her home in a vast magical wilderness full of elves and giants, to the bustling city of Trolberg, where she ...                    See full summary »","Creators:Kurt Mueller, Luke Pearson, Stephanie Simpson","Stars:Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson","Stars:Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson","","4","5","","UK,Canada,USA","English","","","","","","Silvergate Media, Mercury Filmworks, Netflix"
"Vikings","2013","8.5","395,694","44 min","TV-MA","Action,Adventure,Drama","TV Series (2013– )","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Creator:Michael Hirst","Stars:Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig","Stars:Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig","","32","116","Who will rise? (Season 5)","Ireland,Canada","French,Arabic,Greek, Ancient (to 1453),English,Old English,Norse, Old,Latin","Ireland","","","","","World 2000 Entertainment, Take 5 Productions, Shaw Media"
"Community","2009","8.5","199,332","22 min","TV-14","Comedy","TV Series (2009–2015)","A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.","Creator:Dan Harmon","Stars:Joel McHale, Danny Pudi, Donald Glover","Stars:Joel McHale, Danny Pudi, Donald Glover","","19","71","Class uncancelled","USA","English","Los Angeles, California, USA","","","","","Krasnoff Foster Productions, Harmonius Claptrap, AGBO"
"Queer Eye","2018","8.5","14,366","45 min","TV-14","Reality-TV","TV Series (2018– )","A new Fab Five set out to Atlanta to help some of the city's people refine their wardrobes, grooming, diet, cultural pursuits, and home décor.","Stars:Bobby Berk, Karamo Brown, Tan France            |See full cast & crew »",NA,NA,"","12","19","","USA","English","Atlanta, Georgia, USA","$9,000,000","","","","KC Film Office, Scout Productions, ITV America"
"L'amica geniale","2018","8.6","8,175","50 min","TV-MA","Drama","TV Series (2018– )","A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.","Creator:Saverio Costanzo","Stars:Alba Rohrwacher, Margherita Mazzucco, Gaia Girace","Stars:Alba Rohrwacher, Margherita Mazzucco, Gaia Girace","","2","7","","Italy,USA","Italian,Neapolitan","Naples, Campania, Italy","","","","","Fandango, Wildside, The Apartment"
"Feud","2017","8.5","15,852","45 min","TV-MA","Biography,Drama","TV Series (2017– )","Planned anthology series centering on famous feuds, including Bette Davis and Joan Crawford that is discontinued at the moment.","Creators:Jaffe Cohen, Ryan Murphy, Michael Zam","Stars:Jessica Lange, Susan Sarandon, Judy Davis","Stars:Jessica Lange, Susan Sarandon, Judy Davis","","8","86","","USA","English","Los Angeles, California, USA","","","","","Plan B Entertainment, Ryan Murphy Productions, Fox 21 Television Studios"
"Clannad: After Story","2008","8.6","8,150","24 min","TV-PG","Animation,Comedy,Drama","TV Series (2008–2009)","A sequel to the recently wrapped anime based on the Key Clannad franchise. After Story is a path that opens in the original visual novel after all the other paths have been opened. Life ...                    See full summary »","Stars:Yûichi Nakamura, David Matranga, Luci Christian            |See full cast & crew »",NA,NA,"","0",NA,"","Japan","Japanese","","","","","","Hikarizaka Koko Engekibu, Kyoto Animation, Movic"
"Boku no hîrô akademia","2016","8.5","27,175","24 min","TV-14","Animation,Action,Adventure","TV Series (2016– )","A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.","Stars:Daiki Yamashita, Justin Briner, Nobuhiko Okamoto            |See full cast & crew »",NA,NA,"","6","6","","Japan","Japanese","","","","","","Bones"
"Romanzo criminale - La serie","2008","8.6","5,164",NA,"TV-MA","Crime,Drama,Thriller","TV Series (2008–2010)","A criminal known as Lebanese has a dream: to conquer the underworld of Rome. To carry out this feat without precedent he puts together a ruthless and highly organized gang. Their progress ...                    See full summary »","Stars:Vinicio Marchioni, Alessandro Roja, Marco Bocci            |See full cast & crew »",NA,NA,"",NA,NA,"","Italy","Italian","Rome, Lazio, Italy","","","","","Cattleya, Sky Italia"
"Luther","2010","8.5","115,838","60 min","TV-MA","Crime,Drama,Mystery","TV Series (2010– )","DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.","Creator:Neil Cross","Stars:Idris Elba, Dermot Crowley, Michael Smiley","Stars:Idris Elba, Dermot Crowley, Michael Smiley","","15","65","What if you were on the Devil's side without knowing it?","UK","English","Southwark Bridge, Southwark, London, England, UK","","","","","British Broadcasting Corporation (BBC), BBC Studios"
"Ezel","2009","8.6","24,751","90 min","TV-14","Crime,Drama,Thriller","TV Series (2009–2011)","Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.","Stars:Kenan Imirzalioglu, Cansu Dere, Yigit Özsener            |See full cast & crew »",NA,NA,"","4","3","Revenge. That will bring them together.","Turkey","Turkish","Northern Cyprus, TRNC","","","","","Ay Yapim"
"Sseulsseulhago Chalranhashin: Dokkaebi","2016","8.6","8,839","60 min",NA,"Drama,Fantasy,Romance","TV Series (2016–2017)","In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.","Stars:Yoo Gong, Go-eun Kim, Dong-Wook Lee            |See full cast & crew »",NA,NA,"","9","8","","South Korea","Korean","Québec, Québec, Canada","","","","","Hwa and Dam Pictures, Studio Dragon"
"Gintama","2005","8.6","5,803",NA,"TV-14","Animation,Action,Comedy","TV Series (2005–2018)","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Stars:Tomokazu Sugita, Daisuke Sakaguchi, Rie Kugimiya            |See full cast & crew »",NA,NA,"",NA,"0","Forever be Yorozuya","Japan","Japanese","","","","","","Bandai Namco Pictures (BNP), Dentsu, Sunrise"
"The Venture Bros.","2003","8.5","22,923","22 min","TV-MA","Animation,Comedy,Sci-Fi","TV Series (2003– )","The bizarre animated escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high strung bodyguard, and his two over-enthusiastic sons.","Creator:Christopher McCulloch","Stars:Christopher McCulloch, James Urbaniak, Doc Hammer","Stars:Christopher McCulloch, James Urbaniak, Doc Hammer","","0","5","Cockpits! Booby Traps!","USA","English","","","","","","Astro Base Go!, Cartoon Network, Noodlesoup Productions"
"The Knick","2014","8.5","42,194","58 min","TV-MA","Drama,History","TV Series (2014–2015)","A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.","Creators:Jack Amiel, Michael Begler","Stars:Clive Owen, André Holland, Jeremy Bobb","Stars:Clive Owen, André Holland, Jeremy Bobb","","8","30","God has a rival. (Season 1)","USA","English,Latvian,Mandarin,Cantonese,Hebrew,Greek,Italian,Polish,Spanish","Clinton Avenue, Brooklyn, New York City, New York, USA","","","","","Anonymous Content"
"The Family Man","2019","8.6","22,458","45 min",NA,"Action,Comedy,Drama","TV Series (2019– )","The Family Man is an edgy action-drama series, which tells the story of a middle-class man who works for a special cell of the National Investigation Agency. While he tries to protect the ...                    See full summary »","Creators:Krishna D.K., Raj Nidimoru","Stars:Manoj Bajpayee, Sharib Hashmi, Vedant Sinha","Stars:Manoj Bajpayee, Sharib Hashmi, Vedant Sinha","",NA,NA,"","India","Hindi","Mumbai, Maharashtra, India","","","","","Amazon Studios, D2R Films"
"Samurai Jack","2001","8.5","43,611","25 min","TV-14","Animation,Action,Adventure","TV Series (2001–2017)","A samurai sent through time fights to return home and save the world.","Creator:Genndy Tartakovsky","Stars:Phil LaMarr, Mako, Kevin Michael Richardson","Stars:Phil LaMarr, Mako, Kevin Michael Richardson","","20","12","In the future evil takes many forms, and our only hope is one man from the past.","USA","English","","","","","","Cartoon Network Studios, Williams Street"
"Kôkaku kidôtai: Stand Alone Complex","2002","8.5","17,498","24 min","TV-MA","Animation,Action,Crime","TV Series (2002–2005)","The futuristic adventures of a female cyborg counter intelligence agent and her support team.","Stars:Shirô Saitô, Mary Elizabeth McGlynn, William Frederick Knight            |See full cast & crew »",NA,NA,"",NA,"0","A New Beginning, A New Threat...","Japan","Japanese","","","","","","Bandai Visual Company, DENTSU Music And Entertainment, Kôdansha"
"RuPaul's Drag Race All Stars","2012","8.5","5,127","60 min","TV-14","Reality-TV","TV Series (2012– )","New show will serve up a new twist on the mega-hit RuPaul's Drag Race as it pits queens from previous seasons in a wig-to-wig drag battle royale.","Stars:RuPaul, Michelle Visage, Carson Kressley            |See full cast & crew »",NA,NA,"",NA,"2","","USA","English","","","","","","World of Wonder Productions"
"Unsere Mütter, unsere Väter","2013","8.5","24,534","148 min","TV-MA","Action,Drama,History","TV Mini-Series (2013)","Five friends go out to war and promise each other to be back for Christmas.","Stars:Volker Bruch, Tom Schilling, Katharina Schüttler            |See full cast & crew »",NA,NA,"57","22","8","","Germany","German","Paul Wegmann Schule, Zeitz, Saxony-Anhalt, Germany","EUR10,000,000","$7,386,19 January 2014","$91,595","$91,595","Zweites Deutsches Fernsehen (ZDF), teamWorx Produktion für Kino und Fernsehen GmbH, Beta Film"
