"title","year","userRating","votes","runtime","mpaaRating","genre","releaseDate","story","director","writer","stars","metacriticScore","awardWins","awardNominations","tagline","country","language","filmingLocations","budget","openingWeekendUS","grossUS","cumulativeWorldwideGross","productionCompany"
"Poirot","1989","8.6","36,205","100 min","TV-14","Crime,Drama,Mystery","TV Series (1989–2013)","The cases of eccentric, but sharp, Belgian detective Hercule Poirot (David Suchet).","Stars:David Suchet, Hugh Fraser, Philip Jackson            |See full cast & crew »",NA,NA,"","6","17","","UK","English,French","The Charterhouse, Charterhouse Square, London, England, UK","","","","","Carnival Film & Television, London Weekend Television (LWT), Picture Partnership Productions"
"Skam","2015","8.7","26,364","30 min","Not Rated","Drama,Romance","TV Series (2015–2017)","The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.","Creator:Julie Andem","Stars:Josefine Frida Pettersen, Iman Meskini, Ulrikke Falch","Stars:Josefine Frida Pettersen, Iman Meskini, Ulrikke Falch","","16","15","","Norway","Norwegian","Oslo, Norway","","","","","Norsk Rikskringkasting (NRK)"
"El Chavo del Ocho","1972","8.6","7,997","30 min","TV-PG","Comedy,Crime,Family","TV Series (1972–1984)","The misadventures of a poor, homeless and fumbling boy and his friends in the humble neighborhood they live in.","Creator:Roberto Gómez Bolaños","Stars:Ramón Valdés, Carlos Villagrán, Roberto Gómez Bolaños","Stars:Ramón Valdés, Carlos Villagrán, Roberto Gómez Bolaños","",NA,NA,"","Mexico","Spanish","Mexico City, Distrito Federal, Mexico","","","","","Televisa S.A. de C.V."
"The Great British Bake Off","2010","8.6","5,089","60 min","TV-PG","Reality-TV","TV Series (2010– )","Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.","Stars:Paul Hollywood, Mary Berry, Mel Giedroyc            |See full cast & crew »",NA,NA,"","8","16","","UK","English","","","","","","Love Productions, British Broadcasting Corporation (BBC)"
"Dragon Ball: Doragon bôru","1986","8.5","45,244","24 min","TV-Y7","Animation,Action,Adventure","TV Series (1986–1989)","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.","Stars:Masako Nozawa, Jôji Yanami, Brice Armstrong            |See full cast & crew »",NA,NA,"",NA,NA,"","Japan","Japanese","","","","","","The Bird Studio, Toei Animation, Toei Company"
"Justified","2010","8.6","82,666","44 min","TV-MA","Action,Crime,Drama","TV Series (2010–2015)","U.S. Marshal Raylan Givens's reassigned from Miami to his childhood home in the poor, rural coal mining towns in eastern Kentucky.","Creator:Graham Yost","Stars:Timothy Olyphant, Nick Searcy, Joelle Carter","Stars:Timothy Olyphant, Nick Searcy, Joelle Carter","","10","66","","USA","English","Green Valley, California, USA","","","","","FX Productions, Timberman-Beverly Productions, Nemo Films"
"Justice League","2001","8.5","39,594","22 min","TV-PG","Animation,Action,Adventure","TV Series (2001–2004)","Seven of the most formidable heroes form arguably the most powerful team ever.","Creators:Bob Kane, William Moulton Marston, Joe Shuster            |7 more credits »","Stars:Carl Lumbly, Phil LaMarr, Michael Rosenbaum","Stars:Carl Lumbly, Phil LaMarr, Michael Rosenbaum","","0","11","","USA","English","Columbia/Warner Bros. Ranch - 411 North Hollywood Way, Burbank, California, USA","","","","","Warner Bros. Animation, DC Comics, Warner Bros."
"Hagane no renkinjutsushi","2003","8.5","59,386","24 min","TV-PG","Animation,Action,Adventure","TV Series (2003–2004)","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone.","Stars:Vic Mignogna, Aaron Dismuke, Romi Pak            |See full cast & crew »",NA,NA,"","3","0","The Philosophers' Stone: those who possess it, no longer bound by the laws of Equivalent Exchange in Alchemy, may gain without sacrifice, create without equal exchange. We searched for it, and we found it.","Japan","Japanese","","","","","","Aniplex, Bones, Mainichi Broadcasting System (MBS)"
"From the Earth to the Moon","1998","8.6","10,603","60 min","TV-14","Action,Drama,History","TV Mini-Series (1998)","Dramatized portrayal of the Apollo manned space program.","Stars:Tom Hanks, Nick Searcy, Lane Smith            |See full cast & crew »",NA,NA,"","22","33","","USA","English","DeLand, Florida, USA","$68,000,000","","","","Clavius Base, Go Flight Inc., Imagine Entertainment"
"Shin Seiki Evangelion","1995","8.5","45,999","624 min","TV-14","Animation,Action,Drama","TV Series (1995–1996)","A teenage boy finds himself recruited as a member of an elite team of pilots by his father.","Creator:Hideaki Anno","Stars:Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi","Stars:Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi","",NA,NA,"The introduction into society, from child to adult","Japan","Japanese,English","","","","","","Gainax, Nihon Ad Systems (NAS), TV Tokyo"
